Age,Gender,Occupation,Country,Severity,Consultation_History,Stress_Level,Sleep_Hours,Work_Hours,Physical_Activity_Hours
48,Female,Other,India,None,No,Low,10.0,67,3
36,Non-binary,Engineering,UK,None,Yes,Medium,4.9,56,8
53,Male,Engineering,Other,Low,No,Low,4.6,56,10
46,Non-binary,Sales,Germany,None,Yes,Low,6.8,42,0
39,Prefer not to say,Sales,Germany,None,No,Low,8.5,45,7
30,Female,Education,Australia,Medium,No,Low,8.6,50,3
25,Female,Engineering,India,None,Yes,High,9.4,54,7
64,Female,Other,Other,Low,No,Low,6.0,65,2
59,Male,Other,UK,None,No,Medium,6.1,44,0
43,Male,Engineering,India,Low,Yes,Low,4.3,38,8
49,Male,Education,UK,Medium,Yes,High,6.8,36,10
58,Non-binary,Finance,UK,Low,Yes,Low,5.1,45,3
60,Non-binary,Other,USA,None,Yes,Low,8.9,75,8
22,Non-binary,IT,UK,High,Yes,High,4.8,50,8
43,Non-binary,Other,Germany,Low,No,Low,9.8,70,9
45,Non-binary,Finance,Canada,None,Yes,Medium,6.3,52,9
65,Non-binary,Other,India,None,Yes,Low,9.7,71,5
38,Prefer not to say,Other,Canada,Low,Yes,Low,7.1,38,0
65,Male,Education,Australia,None,No,Medium,8.4,52,3
54,Non-binary,Education,UK,None,Yes,Medium,6.0,71,10
24,Prefer not to say,Finance,Germany,None,Yes,Medium,9.7,46,0
50,Non-binary,Sales,India,None,Yes,High,7.4,69,9
36,Male,Education,USA,None,Yes,Low,4.4,41,4
32,Prefer not to say,Healthcare,Australia,None,No,Low,9.5,50,2
21,Male,Sales,Australia,None,No,Low,9.4,72,3
18,Female,Other,India,Medium,Yes,Medium,9.0,31,6
62,Female,Sales,Australia,High,No,High,9.7,42,6
30,Prefer not to say,Engineering,Other,None,Yes,High,9.3,72,7
61,Prefer not to say,Sales,Other,None,Yes,Medium,7.7,50,1
56,Male,Engineering,India,Low,Yes,Low,4.8,64,0
44,Non-binary,IT,Australia,None,Yes,High,8.2,67,10
33,Non-binary,Sales,Germany,None,No,High,4.6,44,1
30,Prefer not to say,Education,UK,Low,No,Low,7.3,78,3
62,Male,Education,Germany,None,Yes,Low,5.5,74,6
38,Non-binary,Other,Australia,None,Yes,Medium,7.3,39,7
55,Non-binary,Engineering,Canada,Medium,Yes,Low,9.0,46,0
30,Non-binary,IT,Other,High,No,High,4.3,33,6
47,Prefer not to say,Education,Australia,Medium,Yes,High,7.7,31,10
28,Male,Healthcare,USA,High,Yes,Medium,4.9,68,4
65,Female,Education,Australia,Low,No,High,7.7,44,1
50,Female,Sales,Australia,Low,Yes,Medium,7.0,43,9
22,Male,IT,Other,Low,No,Low,9.7,45,0
28,Male,Other,USA,Low,Yes,Medium,7.3,67,8
37,Non-binary,Education,India,Low,Yes,Low,9.5,43,1
44,Non-binary,Other,India,High,No,Medium,7.1,63,8
27,Non-binary,Finance,Other,None,No,Low,6.4,71,7
44,Prefer not to say,Engineering,Germany,Medium,Yes,High,6.6,42,3
25,Female,Healthcare,Germany,None,Yes,Medium,9.2,39,0
36,Female,Education,USA,None,Yes,High,6.2,46,4
42,Non-binary,Other,Germany,None,Yes,High,7.0,56,0
46,Female,Finance,USA,Low,No,Medium,7.4,50,4
22,Non-binary,Engineering,UK,Low,No,Medium,4.9,58,9
54,Female,Other,Australia,None,Yes,Low,6.2,76,6
51,Prefer not to say,Engineering,USA,Medium,No,Medium,6.4,47,9
64,Prefer not to say,Engineering,Australia,None,No,High,5.4,71,7
58,Prefer not to say,Other,UK,None,No,Medium,5.4,52,10
53,Non-binary,Engineering,USA,Medium,Yes,Low,7.7,79,7
31,Male,Healthcare,UK,None,Yes,Medium,6.0,61,3
53,Male,Engineering,USA,None,No,Low,7.0,76,10
44,Male,Healthcare,Germany,None,No,Medium,5.6,46,8
57,Female,IT,India,Medium,No,Low,9.4,44,3
32,Prefer not to say,IT,Canada,None,Yes,Medium,9.2,68,8
27,Prefer not to say,Healthcare,Other,High,Yes,Low,5.4,31,2
28,Female,Education,Other,None,Yes,High,7.3,37,9
65,Male,Other,Canada,Low,Yes,Medium,8.2,46,4
35,Female,Healthcare,USA,None,Yes,Low,8.0,53,6
28,Non-binary,Education,Canada,None,No,Medium,8.1,69,5
18,Non-binary,Other,Germany,None,No,Low,7.7,42,1
48,Prefer not to say,Education,Germany,None,Yes,High,5.7,36,9
42,Male,Engineering,Canada,None,Yes,Medium,6.7,66,2
45,Female,Finance,USA,None,No,Low,8.7,42,4
57,Non-binary,Finance,Other,High,No,Low,5.7,54,5
64,Male,Healthcare,Canada,Low,Yes,Medium,5.4,30,5
29,Female,Sales,USA,Medium,Yes,High,8.6,52,6
54,Prefer not to say,Education,India,None,No,High,7.1,62,6
20,Male,Other,UK,Low,No,Low,8.0,49,4
36,Male,IT,India,None,No,High,8.8,80,7
21,Non-binary,Engineering,Germany,None,No,High,6.9,61,3
26,Male,Healthcare,Canada,High,No,High,5.6,77,2
43,Prefer not to say,Finance,Australia,Low,No,Medium,5.3,51,1
22,Non-binary,Other,India,None,Yes,Low,7.6,66,10
46,Female,Engineering,USA,High,No,High,5.1,46,8
39,Female,IT,Other,None,No,Medium,6.8,41,7
55,Non-binary,Finance,USA,None,No,High,7.5,76,6
57,Prefer not to say,Finance,India,Low,Yes,High,7.6,78,0
21,Prefer not to say,Healthcare,Australia,Low,No,Low,9.6,38,5
50,Prefer not to say,Other,USA,None,Yes,Low,6.1,69,8
63,Non-binary,Engineering,Australia,None,Yes,High,7.0,60,3
25,Male,IT,Canada,High,Yes,High,7.3,74,8
64,Prefer not to say,Sales,Other,None,No,Low,6.8,32,10
27,Prefer not to say,Other,USA,Medium,No,Medium,6.7,54,1
34,Prefer not to say,IT,Canada,None,No,Medium,6.8,77,7
56,Prefer not to say,Education,Australia,High,No,Low,5.5,35,8
64,Female,Sales,Australia,None,No,Low,6.3,64,8
55,Prefer not to say,Education,UK,None,Yes,Low,9.3,30,0
38,Non-binary,Finance,Australia,High,No,High,7.0,64,6
48,Male,IT,USA,Low,Yes,High,5.0,54,3
38,Female,Other,UK,None,Yes,Low,6.9,72,1
50,Non-binary,Education,Germany,Medium,Yes,High,4.3,65,8
61,Prefer not to say,Other,Australia,None,No,Low,7.1,62,9
36,Male,Sales,Germany,Low,No,Low,8.2,40,2
47,Prefer not to say,Engineering,India,None,No,Medium,4.5,38,0
56,Prefer not to say,Finance,India,None,No,Medium,5.2,40,2
56,Male,Engineering,USA,None,No,Medium,7.7,56,0
22,Non-binary,Finance,Germany,None,Yes,Medium,9.8,74,8
59,Non-binary,Finance,Germany,High,No,Low,7.1,59,9
45,Female,Education,Germany,None,Yes,Medium,6.3,34,4
20,Prefer not to say,Education,India,None,Yes,Low,9.4,67,6
36,Male,Sales,Canada,None,Yes,Low,4.6,31,7
25,Prefer not to say,IT,India,Low,No,Medium,4.6,36,6
54,Female,Finance,Canada,Medium,Yes,Medium,4.1,39,5
65,Female,IT,Australia,High,Yes,Low,6.7,41,4
48,Male,Finance,Australia,High,No,Low,5.3,62,5
47,Male,Engineering,Australia,None,No,High,6.0,33,0
52,Prefer not to say,Other,Other,Low,No,Medium,9.2,46,1
53,Female,Sales,Australia,Low,No,Low,4.2,39,8
29,Non-binary,Other,Germany,None,No,Medium,4.4,43,1
24,Male,Finance,India,None,Yes,Medium,6.9,71,9
57,Male,Sales,Australia,Medium,Yes,High,8.0,38,5
38,Prefer not to say,Engineering,USA,None,No,Medium,5.9,40,3
19,Male,Engineering,USA,None,No,Medium,8.9,57,1
43,Female,Finance,UK,Low,Yes,Medium,8.8,47,5
56,Prefer not to say,Sales,UK,None,No,High,6.1,33,5
30,Prefer not to say,Sales,Canada,Medium,Yes,Medium,6.7,72,6
28,Prefer not to say,Engineering,India,None,No,High,6.8,76,7
61,Male,IT,Germany,None,Yes,Low,4.2,32,7
24,Male,Sales,Germany,None,Yes,Low,6.1,70,10
51,Prefer not to say,Other,India,High,No,High,5.9,60,8
38,Non-binary,Healthcare,India,Medium,Yes,Low,5.3,75,10
23,Female,Education,Other,Low,Yes,High,7.8,30,1
44,Non-binary,IT,UK,Medium,Yes,Medium,9.6,38,6
22,Prefer not to say,Finance,Australia,Medium,No,High,5.6,43,1
27,Prefer not to say,Healthcare,Canada,High,Yes,Medium,6.2,37,0
30,Female,Healthcare,India,Low,No,Medium,5.4,73,5
47,Female,Finance,Canada,None,No,Low,7.1,73,4
51,Non-binary,Healthcare,Canada,None,No,Medium,5.5,68,0
49,Female,Finance,Germany,Low,No,Medium,5.5,44,9
47,Non-binary,Sales,India,High,No,Medium,8.6,30,3
61,Non-binary,IT,Germany,Medium,No,Low,8.4,66,8
28,Male,Healthcare,Canada,None,Yes,High,4.3,73,7
48,Female,Finance,India,None,No,Low,7.1,75,7
49,Male,Other,Other,None,Yes,Low,8.6,41,6
26,Male,Engineering,India,Low,No,High,9.5,42,4
65,Male,Engineering,Australia,None,Yes,Medium,8.4,42,0
27,Male,Finance,USA,Medium,Yes,Low,7.9,32,3
61,Non-binary,Education,India,None,Yes,Low,4.9,51,6
56,Male,Healthcare,Germany,Medium,Yes,High,5.2,34,2
40,Non-binary,Education,Australia,High,Yes,Low,5.5,67,5
46,Non-binary,Sales,Other,None,No,Low,9.9,60,1
56,Male,Finance,UK,None,Yes,Medium,4.7,31,0
65,Female,Sales,Australia,None,Yes,High,6.8,36,8
45,Non-binary,Other,USA,None,Yes,Medium,4.6,42,4
62,Female,Healthcare,Australia,None,No,Medium,6.2,76,4
30,Prefer not to say,Finance,USA,High,No,Low,6.1,36,10
22,Male,IT,Canada,None,Yes,Low,5.5,40,8
62,Female,Engineering,India,None,Yes,Medium,5.6,35,5
44,Female,Engineering,India,Low,Yes,Medium,7.8,57,9
34,Non-binary,Sales,India,High,No,Low,5.3,68,0
48,Male,Healthcare,UK,Medium,Yes,High,6.7,49,1
39,Prefer not to say,Healthcare,Australia,Medium,Yes,Low,9.7,38,2
50,Female,Finance,Australia,None,No,High,6.7,48,6
65,Female,Engineering,Germany,None,Yes,Low,9.0,76,10
23,Prefer not to say,Finance,UK,None,No,Medium,7.3,57,0
55,Non-binary,Other,Other,Low,No,High,5.8,42,5
61,Prefer not to say,Healthcare,Germany,Medium,Yes,High,8.4,62,8
29,Male,Education,USA,High,No,Low,7.5,38,3
53,Male,Other,Canada,None,Yes,Low,8.6,44,2
26,Female,Other,USA,High,No,Low,8.0,39,8
49,Female,Engineering,UK,Medium,No,High,8.0,30,0
32,Non-binary,Other,USA,Low,No,Low,7.5,79,1
60,Male,Finance,India,None,No,Low,7.5,62,3
41,Non-binary,Other,India,None,No,Low,4.4,78,4
62,Non-binary,Sales,Australia,None,Yes,Medium,8.2,39,5
40,Prefer not to say,Engineering,Canada,None,No,Low,5.7,77,0
22,Non-binary,Healthcare,Canada,Medium,No,High,4.7,56,7
54,Male,Sales,Australia,None,No,High,8.8,69,1
42,Female,Other,UK,None,Yes,Medium,5.4,76,0
49,Non-binary,Healthcare,Germany,Low,No,High,8.2,30,6
41,Female,IT,Germany,Low,Yes,High,5.8,71,9
29,Female,Education,Australia,None,Yes,Low,7.6,63,4
35,Male,Engineering,Germany,Medium,No,Low,7.4,44,0
32,Male,Other,Australia,None,Yes,High,9.4,62,4
62,Prefer not to say,Other,Germany,None,No,High,8.5,44,5
60,Female,IT,UK,None,Yes,High,4.7,58,4
57,Female,Finance,Canada,High,Yes,High,8.9,43,5
20,Female,Other,Other,High,No,Medium,7.7,51,3
26,Female,Healthcare,USA,Low,Yes,High,8.3,50,7
61,Non-binary,Healthcare,UK,Low,Yes,Medium,5.2,46,9
33,Non-binary,Healthcare,UK,High,Yes,Low,4.8,44,2
37,Prefer not to say,Other,Germany,None,No,Low,8.9,37,2
46,Female,Other,Other,None,Yes,High,5.3,68,10
21,Non-binary,Sales,Other,None,No,Low,7.1,51,8
65,Female,Sales,Australia,None,Yes,Medium,6.7,70,4
26,Prefer not to say,Healthcare,Germany,Low,Yes,Medium,5.7,35,10
30,Prefer not to say,Education,Canada,None,Yes,High,6.3,75,6
43,Male,Other,Australia,Medium,No,Medium,8.7,76,6
47,Male,Finance,India,None,No,Medium,4.1,32,1
48,Prefer not to say,Engineering,Australia,High,No,Medium,7.5,52,4
45,Male,Other,Germany,Low,No,High,4.6,48,9
27,Male,IT,India,Medium,No,High,9.0,69,2
54,Female,Engineering,UK,None,Yes,High,9.8,71,8
40,Female,Engineering,India,None,No,Medium,6.9,43,7
37,Non-binary,Engineering,Other,Medium,Yes,Medium,8.9,59,1
62,Female,Engineering,USA,High,Yes,High,9.6,73,3
23,Male,Healthcare,Canada,Medium,Yes,High,6.3,61,5
51,Male,Healthcare,India,High,No,High,6.4,62,3
64,Female,Healthcare,Other,None,Yes,High,8.1,55,5
44,Non-binary,Other,India,None,Yes,Low,9.1,60,5
36,Non-binary,Sales,Other,None,Yes,Low,7.4,31,8
36,Female,Finance,Germany,Medium,No,High,5.8,47,3
33,Male,Other,Australia,None,Yes,Low,7.5,70,3
65,Male,Education,India,None,No,Low,9.8,53,4
61,Male,IT,UK,None,Yes,High,9.7,42,6
58,Male,Finance,India,None,Yes,Low,4.5,51,5
57,Male,Finance,Germany,None,No,High,8.5,56,4
52,Non-binary,IT,Canada,Low,No,Low,7.6,30,8
37,Male,Education,Canada,Low,Yes,Medium,7.6,57,4
46,Male,Finance,Canada,High,No,Low,4.9,73,6
46,Female,Education,India,None,No,Low,6.5,78,4
55,Female,Other,USA,None,No,High,4.4,61,6
62,Male,Education,UK,Medium,No,High,5.5,60,10
44,Non-binary,Other,Germany,None,Yes,Medium,9.8,67,5
60,Non-binary,IT,India,High,No,Medium,8.8,50,9
32,Non-binary,IT,Canada,Low,No,Low,4.9,59,7
49,Female,Other,India,None,No,Medium,7.1,32,4
26,Female,Sales,Canada,None,No,High,7.1,30,5
61,Prefer not to say,Sales,Canada,None,No,Medium,9.7,32,4
28,Non-binary,Healthcare,USA,Low,Yes,Low,6.8,44,3
47,Non-binary,Sales,Germany,Low,No,Low,5.2,66,9
51,Prefer not to say,Sales,Germany,High,No,Low,6.5,79,3
62,Non-binary,Engineering,UK,None,Yes,Low,4.0,75,2
56,Male,Sales,India,Medium,No,Medium,7.7,57,7
24,Male,IT,Canada,Medium,Yes,Medium,4.8,40,7
28,Non-binary,Education,Australia,High,No,Low,6.5,58,7
53,Male,IT,UK,Low,Yes,High,7.4,72,0
44,Prefer not to say,Finance,India,High,Yes,High,9.8,54,8
34,Prefer not to say,Other,Australia,Medium,No,Medium,5.4,45,3
20,Prefer not to say,Healthcare,USA,None,No,Medium,8.9,31,10
18,Female,IT,India,None,Yes,Medium,8.4,60,0
45,Non-binary,IT,Australia,None,No,Low,5.8,50,9
32,Female,Other,Other,Medium,Yes,Medium,8.3,47,7
54,Male,Engineering,Canada,None,No,High,6.1,47,5
26,Prefer not to say,Other,Canada,None,No,Medium,8.6,50,2
49,Non-binary,Other,Australia,None,Yes,Medium,6.5,71,5
63,Male,Education,Canada,Medium,No,Medium,8.3,40,10
36,Male,Healthcare,UK,None,No,Low,8.2,59,4
24,Non-binary,Healthcare,USA,None,Yes,High,5.2,36,8
27,Prefer not to say,Sales,Other,Medium,Yes,Low,7.0,56,2
34,Prefer not to say,Sales,Australia,Medium,Yes,Medium,5.7,67,3
21,Prefer not to say,Sales,India,None,No,Low,5.6,64,2
36,Non-binary,Sales,Australia,None,Yes,Medium,7.5,69,6
56,Female,Healthcare,Other,None,Yes,High,7.8,79,2
33,Male,Engineering,Germany,Low,Yes,Medium,4.2,57,9
65,Female,Healthcare,Canada,High,Yes,Low,6.8,66,7
57,Male,IT,USA,Low,Yes,Medium,9.9,38,4
57,Non-binary,Engineering,UK,None,No,Low,8.1,43,4
37,Non-binary,Education,USA,None,No,Low,7.7,40,3
50,Male,Healthcare,India,Low,Yes,Low,8.0,31,3
47,Non-binary,IT,UK,None,Yes,Medium,5.0,80,1
28,Prefer not to say,Finance,UK,None,No,High,7.5,50,1
37,Male,Education,USA,None,No,High,5.2,75,1
44,Non-binary,Engineering,India,Low,Yes,High,7.3,57,3
18,Prefer not to say,Education,USA,Low,No,Low,8.6,65,8
31,Prefer not to say,IT,India,None,No,High,9.2,66,3
42,Prefer not to say,IT,Germany,None,No,Low,7.9,64,9
58,Non-binary,Sales,Other,None,No,High,6.4,53,9
58,Male,Engineering,Germany,None,Yes,Medium,7.2,61,6
45,Male,Engineering,Canada,None,Yes,High,4.9,56,1
52,Male,Sales,Germany,None,No,High,5.5,50,2
61,Non-binary,IT,Other,None,No,High,8.3,76,5
20,Male,Sales,USA,None,Yes,High,8.5,59,3
26,Non-binary,IT,Canada,None,No,High,4.2,34,5
59,Prefer not to say,IT,UK,None,Yes,High,7.7,47,5
54,Female,Engineering,USA,None,No,Medium,5.5,71,4
52,Male,Engineering,USA,None,Yes,Low,4.8,50,10
51,Prefer not to say,IT,USA,High,Yes,High,6.4,59,9
52,Prefer not to say,Sales,Australia,Medium,Yes,High,4.2,74,5
57,Non-binary,Healthcare,Other,Medium,No,Low,5.6,67,5
21,Non-binary,Other,Other,High,Yes,Medium,4.9,63,5
62,Female,Healthcare,Germany,Medium,No,High,9.9,76,8
53,Non-binary,Education,India,High,No,Low,4.5,70,5
62,Male,Education,Australia,Medium,No,Low,7.9,44,7
18,Male,Sales,UK,Low,No,Medium,5.0,67,1
35,Non-binary,Engineering,Australia,None,No,Medium,6.4,45,5
58,Male,Engineering,Canada,None,Yes,High,4.7,52,6
47,Prefer not to say,IT,UK,Low,No,High,8.7,63,7
39,Female,IT,UK,Medium,No,Medium,5.8,71,6
19,Female,Finance,Canada,Medium,Yes,High,7.9,76,3
27,Female,Sales,Other,None,Yes,High,9.0,72,7
53,Female,Engineering,India,High,Yes,Low,9.2,66,4
63,Male,Other,Other,Medium,Yes,Low,7.0,41,10
38,Prefer not to say,Finance,Canada,High,No,Medium,4.0,37,5
24,Non-binary,IT,India,None,No,Medium,5.1,61,10
21,Male,IT,Other,None,Yes,Low,5.8,40,10
21,Non-binary,Engineering,India,Low,Yes,Low,5.2,58,1
24,Prefer not to say,Engineering,UK,None,No,Low,8.3,34,6
43,Prefer not to say,Finance,USA,None,Yes,Medium,6.8,49,3
18,Prefer not to say,Healthcare,Canada,Medium,No,Medium,9.0,80,2
32,Female,Engineering,Germany,None,Yes,Medium,5.2,50,2
40,Prefer not to say,Finance,Germany,Low,No,Medium,8.1,58,0
50,Female,IT,USA,Low,No,Low,8.3,54,0
18,Male,Engineering,Other,None,Yes,Low,5.8,40,9
55,Female,Finance,Canada,High,Yes,Low,9.5,62,10
27,Non-binary,IT,Australia,None,Yes,High,8.6,40,3
59,Male,Healthcare,Canada,Medium,No,Medium,5.1,35,2
52,Non-binary,IT,Australia,Medium,Yes,Low,7.2,32,8
43,Prefer not to say,IT,India,Low,No,Medium,9.3,71,4
61,Non-binary,Other,Australia,None,No,High,7.6,65,9
26,Non-binary,IT,Canada,None,No,Low,9.5,77,4
60,Non-binary,Education,USA,High,No,High,7.4,33,9
22,Male,Other,Australia,High,No,Medium,4.1,37,5
46,Prefer not to say,Other,Australia,None,Yes,Low,8.1,53,10
64,Non-binary,IT,India,High,No,Medium,5.7,36,9
55,Prefer not to say,IT,India,None,Yes,High,6.0,46,6
31,Non-binary,Sales,Australia,Low,No,High,8.5,65,8
54,Non-binary,Finance,India,Medium,No,High,9.1,63,4
33,Female,Engineering,Australia,None,No,High,5.1,76,1
24,Female,Other,Germany,None,Yes,Medium,4.3,58,7
38,Female,Sales,Germany,High,Yes,High,5.6,65,4
57,Male,Finance,Germany,Medium,Yes,Low,5.6,60,0
58,Female,Healthcare,UK,Low,Yes,Medium,4.4,67,2
37,Female,Finance,Canada,None,No,Medium,6.6,53,3
31,Prefer not to say,Other,Other,None,Yes,Low,9.5,48,10
34,Non-binary,IT,Australia,None,No,Medium,4.2,76,5
31,Non-binary,Healthcare,Australia,Low,No,Medium,4.4,58,8
57,Prefer not to say,Finance,Other,None,No,Medium,6.2,51,6
62,Male,Finance,Germany,Low,Yes,Low,7.3,74,6
30,Female,Sales,Canada,None,Yes,Medium,4.5,44,8
49,Prefer not to say,IT,USA,Medium,Yes,Medium,4.6,62,2
21,Prefer not to say,Education,UK,None,No,Low,7.5,72,7
32,Female,Healthcare,USA,High,Yes,Low,8.8,46,7
58,Non-binary,IT,India,High,Yes,High,6.9,68,4
24,Non-binary,Engineering,Germany,None,No,High,5.5,41,3
57,Non-binary,Engineering,Australia,None,Yes,Low,7.9,30,9
20,Male,IT,India,None,No,Medium,8.1,62,9
61,Male,Healthcare,UK,None,No,Low,6.4,66,7
37,Female,Healthcare,UK,None,Yes,Medium,6.2,57,0
31,Male,Finance,Germany,None,Yes,Medium,4.8,67,4
43,Male,Finance,Germany,High,Yes,Low,6.7,73,6
43,Non-binary,Healthcare,Germany,Low,Yes,Low,9.3,39,7
47,Non-binary,Healthcare,India,None,No,High,6.3,48,7
54,Male,Other,Australia,Medium,No,Low,6.3,63,3
33,Non-binary,Finance,Germany,Medium,Yes,Low,4.6,61,9
26,Non-binary,Healthcare,Other,High,No,Medium,4.2,33,7
61,Female,Other,Other,None,No,Medium,5.8,46,8
59,Female,Education,Germany,Low,No,High,8.4,37,2
36,Female,Finance,USA,None,Yes,Medium,9.2,51,1
27,Female,Finance,Other,Medium,Yes,Medium,5.6,73,2
28,Female,IT,Canada,None,No,Low,9.9,34,5
24,Female,Healthcare,USA,High,No,Medium,8.1,58,9
22,Male,Sales,USA,Low,Yes,Medium,5.2,72,7
23,Prefer not to say,Sales,Australia,None,No,Low,8.0,75,9
33,Female,Finance,Australia,None,No,High,9.5,56,5
24,Female,Finance,USA,Medium,Yes,Low,8.5,36,2
38,Prefer not to say,Finance,Other,Low,Yes,High,4.2,54,1
44,Female,Other,Australia,None,Yes,Medium,7.4,58,3
51,Female,Education,USA,None,Yes,Low,5.1,54,0
39,Male,Engineering,Australia,None,Yes,High,7.3,49,9
45,Prefer not to say,Healthcare,Australia,Medium,Yes,Low,8.6,49,8
62,Male,Finance,Australia,None,Yes,High,9.4,40,7
58,Female,Sales,USA,High,Yes,High,4.4,46,4
52,Male,Finance,UK,High,Yes,Low,9.3,75,0
32,Non-binary,Other,Canada,None,Yes,Medium,6.0,57,2
60,Female,Engineering,Canada,None,Yes,Medium,8.6,30,8
23,Male,Engineering,Canada,None,Yes,Medium,6.4,67,8
64,Prefer not to say,Other,USA,None,No,High,5.2,36,9
19,Non-binary,Engineering,Germany,Low,Yes,Low,8.9,36,1
64,Prefer not to say,Healthcare,India,Medium,No,Low,4.8,37,9
64,Female,IT,Germany,High,No,Low,8.6,40,5
39,Prefer not to say,IT,Canada,Low,Yes,High,6.9,48,6
58,Female,Engineering,USA,None,No,Medium,9.3,79,5
41,Male,Finance,Australia,Medium,Yes,Low,5.9,67,5
21,Male,Education,UK,None,Yes,High,5.6,72,4
55,Non-binary,Finance,Other,None,No,Low,7.9,64,10
30,Male,Other,Germany,None,Yes,High,6.6,53,3
40,Female,Other,Canada,High,Yes,High,7.0,30,3
39,Non-binary,IT,UK,High,No,Medium,4.5,79,6
55,Female,Sales,India,Medium,Yes,Medium,8.2,42,9
29,Prefer not to say,Education,India,None,Yes,High,9.9,47,1
28,Non-binary,Engineering,India,Medium,Yes,High,9.9,75,0
38,Male,Finance,India,None,Yes,High,5.4,73,4
24,Male,Other,Germany,None,Yes,Low,9.1,78,6
45,Non-binary,Other,Canada,High,Yes,High,7.8,40,3
43,Female,IT,UK,Low,No,Medium,5.6,68,2
18,Non-binary,IT,USA,None,Yes,Low,4.3,80,7
22,Male,Sales,Other,None,No,Low,9.2,75,10
30,Female,Finance,Other,Medium,No,High,5.7,57,7
32,Prefer not to say,IT,UK,None,Yes,Medium,4.9,55,1
45,Prefer not to say,Healthcare,USA,High,Yes,Medium,7.4,76,5
47,Male,Healthcare,UK,Low,No,Medium,4.2,30,4
51,Male,Sales,India,None,No,Medium,5.3,34,1
31,Prefer not to say,IT,Australia,None,No,Low,5.1,80,6
40,Prefer not to say,Sales,Canada,Medium,Yes,Medium,6.0,31,8
28,Female,Other,UK,Low,Yes,High,8.7,63,3
21,Female,Engineering,India,None,Yes,Medium,6.4,60,8
51,Male,Sales,USA,High,Yes,Low,9.4,37,3
39,Female,IT,USA,None,Yes,High,6.7,78,5
47,Male,Sales,India,None,No,Low,8.3,77,7
41,Male,Sales,UK,High,Yes,High,9.0,53,5
44,Prefer not to say,Education,USA,None,No,Medium,4.6,67,8
38,Non-binary,Education,Other,None,Yes,Low,8.3,43,7
65,Non-binary,IT,USA,High,No,Low,7.1,57,2
64,Male,Finance,Australia,Low,No,Medium,5.2,42,2
31,Prefer not to say,Engineering,UK,None,Yes,High,7.0,77,3
47,Female,Education,Other,None,No,Low,7.4,78,4
47,Prefer not to say,Sales,Germany,High,Yes,Low,9.9,65,8
36,Prefer not to say,Engineering,India,Low,Yes,Medium,4.9,52,2
31,Prefer not to say,Sales,UK,Medium,No,Medium,4.8,58,6
54,Non-binary,Healthcare,Canada,None,Yes,Medium,7.4,60,9
64,Female,Education,Germany,Low,No,Medium,8.9,66,7
24,Male,Other,India,Medium,No,Medium,8.7,49,6
53,Female,Engineering,USA,None,Yes,Low,5.9,76,7
48,Male,Other,Germany,None,No,High,9.0,59,1
