Age,Gender,Occupation,Country,Mental_Health_Condition,Consultation_History,Stress_Level,Sleep_Hours,Work_Hours,Physical_Activity_Hours
64,Female,Sales,Australia,No,No,0,6.3,64,8
38,Non-Binary,Finance,Australia,Yes,No,1,7.0,64,6
48,Male,IT,USA,No,Yes,1,5.0,54,3
38,Female,Other,UK,Yes,Yes,0,6.9,72,1
50,Non-Binary,Education,Germany,Yes,Yes,1,4.3,65,8
36,Male,Sales,Germany,No,No,0,8.2,40,2
56,Male,Engineering,USA,Yes,No,0,7.7,56,0
22,Non-Binary,Finance,Germany,Yes,Yes,0,9.8,74,8
59,Non-Binary,Finance,Germany,Yes,No,0,7.1,59,9
45,Female,Education,Germany,No,Yes,0,6.3,34,4
36,Male,Sales,Canada,Yes,Yes,0,4.6,31,7
54,Female,Finance,Canada,No,Yes,0,4.1,39,5
65,Female,IT,Australia,Yes,Yes,0,6.7,41,4
48,Male,Finance,Australia,Yes,No,0,5.3,62,5
47,Male,Engineering,Australia,No,No,1,6.0,33,0
53,Female,Sales,Australia,No,No,0,4.2,39,8
29,Non-Binary,Other,Germany,Yes,No,0,4.4,43,1
24,Male,Finance,India,Yes,Yes,0,6.9,71,9
57,Male,Sales,Australia,No,Yes,1,8.0,38,5
19,Male,Engineering,USA,Yes,No,0,8.9,57,1
43,Female,Finance,UK,No,Yes,0,8.8,47,5
61,Male,IT,Germany,Yes,Yes,0,4.2,32,7
24,Male,Sales,Germany,No,Yes,0,6.1,70,10
38,Non-Binary,Healthcare,India,No,Yes,0,5.3,75,10
23,Female,Education,Other,No,Yes,1,7.8,30,1
44,Non-Binary,IT,UK,No,Yes,0,9.6,38,6
30,Female,Healthcare,India,No,No,0,5.4,73,5
47,Female,Finance,Canada,No,No,0,7.1,73,4
51,Non-Binary,Healthcare,Canada,Yes,No,0,5.5,68,0
49,Female,Finance,Germany,No,No,0,5.5,44,9
47,Non-Binary,Sales,India,Yes,No,0,8.6,30,3
61,Non-Binary,IT,Germany,No,No,0,8.4,66,8
28,Male,Healthcare,Canada,Yes,Yes,1,4.3,73,7
48,Female,Finance,India,No,No,0,7.1,75,7
49,Male,Other,Other,Yes,Yes,0,8.6,41,6
26,Male,Engineering,India,No,No,1,9.5,42,4
65,Male,Engineering,Australia,Yes,Yes,0,8.4,42,0
27,Male,Finance,USA,No,Yes,0,7.9,32,3
61,Non-Binary,Education,India,Yes,Yes,0,4.9,51,6
56,Male,Healthcare,Germany,Yes,Yes,1,5.2,34,2
40,Non-Binary,Education,Australia,No,Yes,0,5.5,67,5
46,Non-Binary,Sales,Other,No,No,0,9.9,60,1
56,Male,Finance,UK,Yes,Yes,0,4.7,31,0
65,Female,Sales,Australia,No,Yes,1,6.8,36,8
45,Non-Binary,Other,USA,Yes,Yes,0,4.6,42,4
62,Female,Healthcare,Australia,Yes,No,0,6.2,76,4
22,Male,IT,Canada,No,Yes,0,5.5,40,8
62,Female,Engineering,India,Yes,Yes,0,5.6,35,5
44,Female,Engineering,India,Yes,Yes,0,7.8,57,9
34,Non-Binary,Sales,India,No,No,0,5.3,68,0
48,Male,Healthcare,UK,Yes,Yes,1,6.7,49,1
50,Female,Finance,Australia,Yes,No,1,6.7,48,6
65,Female,Engineering,Germany,No,Yes,0,9.0,76,10
55,Non-Binary,Other,Other,No,No,1,5.8,42,5
29,Male,Education,USA,No,No,0,7.5,38,3
53,Male,Other,Canada,Yes,Yes,0,8.6,44,2
26,Female,Other,USA,Yes,No,0,8.0,39,8
49,Female,Engineering,UK,No,No,1,8.0,30,0
32,Non-Binary,Other,USA,No,No,0,7.5,79,1
60,Male,Finance,India,Yes,No,0,7.5,62,3
41,Non-Binary,Other,India,Yes,No,0,4.4,78,4
62,Non-Binary,Sales,Australia,Yes,Yes,0,8.2,39,5
22,Non-Binary,Healthcare,Canada,Yes,No,1,4.7,56,7
54,Male,Sales,Australia,No,No,1,8.8,69,1
42,Female,Other,UK,Yes,Yes,0,5.4,76,0
49,Non-Binary,Healthcare,Germany,No,No,1,8.2,30,6
41,Female,IT,Germany,No,Yes,1,5.8,71,9
29,Female,Education,Australia,Yes,Yes,0,7.6,63,4
35,Male,Engineering,Germany,Yes,No,0,7.4,44,0
32,Male,Other,Australia,No,Yes,1,9.4,62,4
60,Female,IT,UK,Yes,Yes,1,4.7,58,4
57,Female,Finance,Canada,No,Yes,1,8.9,43,5
20,Female,Other,Other,No,No,0,7.7,51,3
26,Female,Healthcare,USA,No,Yes,1,8.3,50,7
61,Non-Binary,Healthcare,UK,No,Yes,0,5.2,46,9
33,Non-Binary,Healthcare,UK,No,Yes,0,4.8,44,2
46,Female,Other,Other,Yes,Yes,1,5.3,68,10
21,Non-Binary,Sales,Other,Yes,No,0,7.1,51,8
65,Female,Sales,Australia,No,Yes,0,6.7,70,4
43,Male,Other,Australia,Yes,No,0,8.7,76,6
47,Male,Finance,India,No,No,0,4.1,32,1
45,Male,Other,Germany,Yes,No,1,4.6,48,9
27,Male,IT,India,Yes,No,1,9.0,69,2
54,Female,Engineering,UK,Yes,Yes,1,9.8,71,8
40,Female,Engineering,India,Yes,No,0,6.9,43,7
37,Non-Binary,Engineering,Other,Yes,Yes,0,8.9,59,1
62,Female,Engineering,USA,No,Yes,1,9.6,73,3
23,Male,Healthcare,Canada,No,Yes,1,6.3,61,5
51,Male,Healthcare,India,Yes,No,1,6.4,62,3
64,Female,Healthcare,Other,No,Yes,1,8.1,55,5
44,Non-Binary,Other,India,No,Yes,0,9.1,60,5
36,Non-Binary,Sales,Other,No,Yes,0,7.4,31,8
36,Female,Finance,Germany,No,No,1,5.8,47,3
33,Male,Other,Australia,Yes,Yes,0,7.5,70,3
65,Male,Education,India,Yes,No,0,9.8,53,4
61,Male,IT,UK,No,Yes,1,9.7,42,6
58,Male,Finance,India,No,Yes,0,4.5,51,5
57,Male,Finance,Germany,Yes,No,1,8.5,56,4
52,Non-Binary,IT,Canada,No,No,0,7.6,30,8
37,Male,Education,Canada,Yes,Yes,0,7.6,57,4
46,Male,Finance,Canada,No,No,0,4.9,73,6
46,Female,Education,India,No,No,0,6.5,78,4
55,Female,Other,USA,No,No,1,4.4,61,6
62,Male,Education,UK,No,No,1,5.5,60,10
44,Non-Binary,Other,Germany,No,Yes,0,9.8,67,5
60,Non-Binary,IT,India,Yes,No,0,8.8,50,9
32,Non-Binary,IT,Canada,No,No,0,4.9,59,7
49,Female,Other,India,No,No,0,7.1,32,4
26,Female,Sales,Canada,Yes,No,1,7.1,30,5
28,Non-Binary,Healthcare,USA,Yes,Yes,0,6.8,44,3
47,Non-Binary,Sales,Germany,No,No,0,5.2,66,9
62,Non-Binary,Engineering,UK,No,Yes,0,4.0,75,2
56,Male,Sales,India,Yes,No,0,7.7,57,7
24,Male,IT,Canada,Yes,Yes,0,4.8,40,7
28,Non-Binary,Education,Australia,Yes,No,0,6.5,58,7
53,Male,IT,UK,Yes,Yes,1,7.4,72,0
18,Female,IT,India,No,Yes,0,8.4,60,0
45,Non-Binary,IT,Australia,No,No,0,5.8,50,9
32,Female,Other,Other,No,Yes,0,8.3,47,7
54,Male,Engineering,Canada,Yes,No,1,6.1,47,5
49,Non-Binary,Other,Australia,No,Yes,0,6.5,71,5
63,Male,Education,Canada,No,No,0,8.3,40,10
36,Male,Healthcare,UK,No,No,0,8.2,59,4
24,Non-Binary,Healthcare,USA,No,Yes,1,5.2,36,8
36,Non-Binary,Sales,Australia,Yes,Yes,0,7.5,69,6
56,Female,Healthcare,Other,No,Yes,1,7.8,79,2
33,Male,Engineering,Germany,Yes,Yes,0,4.2,57,9
65,Female,Healthcare,Canada,Yes,Yes,0,6.8,66,7
57,Male,IT,USA,No,Yes,0,9.9,38,4
57,Non-Binary,Engineering,UK,No,No,0,8.1,43,4
37,Non-Binary,Education,USA,No,No,0,7.7,40,3
50,Male,Healthcare,India,Yes,Yes,0,8.0,31,3
47,Non-Binary,IT,UK,Yes,Yes,0,5.0,80,1
37,Male,Education,USA,No,No,1,5.2,75,1
44,Non-Binary,Engineering,India,Yes,Yes,1,7.3,57,3
58,Non-Binary,Sales,Other,No,No,1,6.4,53,9
58,Male,Engineering,Germany,Yes,Yes,0,7.2,61,6
45,Male,Engineering,Canada,Yes,Yes,1,4.9,56,1
52,Male,Sales,Germany,Yes,No,1,5.5,50,2
61,Non-Binary,IT,Other,No,No,1,8.3,76,5
20,Male,Sales,USA,Yes,Yes,1,8.5,59,3
26,Non-Binary,IT,Canada,No,No,1,4.2,34,5
54,Female,Engineering,USA,Yes,No,0,5.5,71,4
52,Male,Engineering,USA,Yes,Yes,0,4.8,50,10
57,Non-Binary,Healthcare,Other,Yes,No,0,5.6,67,5
21,Non-Binary,Other,Other,No,Yes,0,4.9,63,5
62,Female,Healthcare,Germany,No,No,1,9.9,76,8
53,Non-Binary,Education,India,No,No,0,4.5,70,5
62,Male,Education,Australia,No,No,0,7.9,44,7
18,Male,Sales,UK,No,No,0,5.0,67,1
35,Non-Binary,Engineering,Australia,No,No,0,6.4,45,5
58,Male,Engineering,Canada,No,Yes,1,4.7,52,6
39,Female,IT,UK,Yes,No,0,5.8,71,6
19,Female,Finance,Canada,No,Yes,1,7.9,76,3
27,Female,Sales,Other,Yes,Yes,1,9.0,72,7
53,Female,Engineering,India,Yes,Yes,0,9.2,66,4
63,Male,Other,Other,Yes,Yes,0,7.0,41,10
24,Non-Binary,IT,India,No,No,0,5.1,61,10
21,Male,IT,Other,Yes,Yes,0,5.8,40,10
21,Non-Binary,Engineering,India,No,Yes,0,5.2,58,1
32,Female,Engineering,Germany,Yes,Yes,0,5.2,50,2
50,Female,IT,USA,No,No,0,8.3,54,0
18,Male,Engineering,Other,No,Yes,0,5.8,40,9
55,Female,Finance,Canada,Yes,Yes,0,9.5,62,10
27,Non-Binary,IT,Australia,No,Yes,1,8.6,40,3
59,Male,Healthcare,Canada,Yes,No,0,5.1,35,2
52,Non-Binary,IT,Australia,No,Yes,0,7.2,32,8
61,Non-Binary,Other,Australia,Yes,No,1,7.6,65,9
26,Non-Binary,IT,Canada,Yes,No,0,9.5,77,4
60,Non-Binary,Education,USA,Yes,No,1,7.4,33,9
22,Male,Other,Australia,No,No,0,4.1,37,5
64,Non-Binary,IT,India,Yes,No,0,5.7,36,9
31,Non-Binary,Sales,Australia,Yes,No,1,8.5,65,8
54,Non-Binary,Finance,India,Yes,No,1,9.1,63,4
33,Female,Engineering,Australia,No,No,1,5.1,76,1
24,Female,Other,Germany,Yes,Yes,0,4.3,58,7
38,Female,Sales,Germany,Yes,Yes,1,5.6,65,4
57,Male,Finance,Germany,No,Yes,0,5.6,60,0
58,Female,Healthcare,UK,Yes,Yes,0,4.4,67,2
37,Female,Finance,Canada,Yes,No,0,6.6,53,3
34,Non-Binary,IT,Australia,Yes,No,0,4.2,76,5
31,Non-Binary,Healthcare,Australia,No,No,0,4.4,58,8
62,Male,Finance,Germany,No,Yes,0,7.3,74,6
30,Female,Sales,Canada,Yes,Yes,0,4.5,44,8
32,Female,Healthcare,USA,Yes,Yes,0,8.8,46,7
58,Non-Binary,IT,India,Yes,Yes,1,6.9,68,4
24,Non-Binary,Engineering,Germany,Yes,No,1,5.5,41,3
57,Non-Binary,Engineering,Australia,Yes,Yes,0,7.9,30,9
20,Male,IT,India,Yes,No,0,8.1,62,9
61,Male,Healthcare,UK,No,No,0,6.4,66,7
37,Female,Healthcare,UK,Yes,Yes,0,6.2,57,0
31,Male,Finance,Germany,No,Yes,0,4.8,67,4
43,Male,Finance,Germany,Yes,Yes,0,6.7,73,6
43,Non-Binary,Healthcare,Germany,No,Yes,0,9.3,39,7
47,Non-Binary,Healthcare,India,No,No,1,6.3,48,7
54,Male,Other,Australia,No,No,0,6.3,63,3
33,Non-Binary,Finance,Germany,No,Yes,0,4.6,61,9
26,Non-Binary,Healthcare,Other,No,No,0,4.2,33,7
61,Female,Other,Other,Yes,No,0,5.8,46,8
59,Female,Education,Germany,Yes,No,1,8.4,37,2
36,Female,Finance,USA,No,Yes,0,9.2,51,1
27,Female,Finance,Other,Yes,Yes,0,5.6,73,2
28,Female,IT,Canada,No,No,0,9.9,34,5
24,Female,Healthcare,USA,Yes,No,0,8.1,58,9
22,Male,Sales,USA,Yes,Yes,0,5.2,72,7
33,Female,Finance,Australia,No,No,1,9.5,56,5
24,Female,Finance,USA,No,Yes,0,8.5,36,2
44,Female,Other,Australia,Yes,Yes,0,7.4,58,3
51,Female,Education,USA,Yes,Yes,0,5.1,54,0
39,Male,Engineering,Australia,Yes,Yes,1,7.3,49,9
62,Male,Finance,Australia,Yes,Yes,1,9.4,40,7
58,Female,Sales,USA,Yes,Yes,1,4.4,46,4
52,Male,Finance,UK,Yes,Yes,0,9.3,75,0
32,Non-Binary,Other,Canada,No,Yes,0,6.0,57,2
60,Female,Engineering,Canada,No,Yes,0,8.6,30,8
23,Male,Engineering,Canada,No,Yes,0,6.4,67,8
19,Non-Binary,Engineering,Germany,No,Yes,0,8.9,36,1
64,Female,IT,Germany,No,No,0,8.6,40,5
58,Female,Engineering,USA,Yes,No,0,9.3,79,5
41,Male,Finance,Australia,Yes,Yes,0,5.9,67,5
21,Male,Education,UK,Yes,Yes,1,5.6,72,4
55,Non-Binary,Finance,Other,No,No,0,7.9,64,10
30,Male,Other,Germany,Yes,Yes,1,6.6,53,3
40,Female,Other,Canada,Yes,Yes,1,7.0,30,3
39,Non-Binary,IT,UK,Yes,No,0,4.5,79,6
55,Female,Sales,India,Yes,Yes,0,8.2,42,9
28,Non-Binary,Engineering,India,Yes,Yes,1,9.9,75,0
38,Male,Finance,India,Yes,Yes,1,5.4,73,4
24,Male,Other,Germany,Yes,Yes,0,9.1,78,6
45,Non-Binary,Other,Canada,No,Yes,1,7.8,40,3
43,Female,IT,UK,Yes,No,0,5.6,68,2
18,Non-Binary,IT,USA,Yes,Yes,0,4.3,80,7
22,Male,Sales,Other,Yes,No,0,9.2,75,10
30,Female,Finance,Other,Yes,No,1,5.7,57,7
47,Male,Healthcare,UK,Yes,No,0,4.2,30,4
51,Male,Sales,India,Yes,No,0,5.3,34,1
28,Female,Other,UK,No,Yes,1,8.7,63,3
21,Female,Engineering,India,No,Yes,0,6.4,60,8
51,Male,Sales,USA,No,Yes,0,9.4,37,3
39,Female,IT,USA,Yes,Yes,1,6.7,78,5
47,Male,Sales,India,Yes,No,0,8.3,77,7
41,Male,Sales,UK,No,Yes,1,9.0,53,5
38,Non-Binary,Education,Other,Yes,Yes,0,8.3,43,7
65,Non-Binary,IT,USA,No,No,0,7.1,57,2
64,Male,Finance,Australia,Yes,No,0,5.2,42,2
47,Female,Education,Other,Yes,No,0,7.4,78,4
54,Non-Binary,Healthcare,Canada,Yes,Yes,0,7.4,60,9
64,Female,Education,Germany,No,No,0,8.9,66,7
24,Male,Other,India,No,No,0,8.7,49,6
53,Female,Engineering,USA,No,Yes,0,5.9,76,7
48,Male,Other,Germany,Yes,No,1,9.0,59,1
34,Female,Engineering,Canada,No,No,1,6.5,41,7
58,Non-Binary,Engineering,India,Yes,Yes,0,7.2,45,2
53,Non-Binary,Engineering,Australia,No,No,0,6.4,55,5
54,Male,IT,Australia,Yes,Yes,1,6.0,31,3
52,Male,Engineering,Australia,Yes,Yes,1,9.5,40,2
28,Male,Finance,USA,No,No,0,8.3,80,9
26,Non-Binary,Other,Canada,No,No,1,6.1,71,1
45,Non-Binary,Engineering,UK,Yes,No,0,8.5,78,6
34,Female,Sales,UK,No,Yes,0,10.0,34,7
62,Male,Other,Germany,No,No,1,7.6,64,10
27,Male,Other,USA,No,Yes,0,5.4,43,2
56,Female,Healthcare,Other,No,Yes,0,7.5,31,4
31,Female,Finance,Australia,Yes,No,0,8.3,66,4
61,Non-Binary,Education,Other,No,Yes,0,7.8,72,6
58,Non-Binary,Finance,UK,No,No,0,5.1,35,2
54,Female,Healthcare,Germany,Yes,Yes,0,8.1,47,4
65,Female,Healthcare,Other,Yes,Yes,0,5.8,42,1
52,Female,IT,Australia,Yes,Yes,0,8.1,46,2
59,Male,Other,Germany,Yes,Yes,1,9.9,47,5
46,Female,Healthcare,UK,Yes,Yes,0,8.6,59,4
33,Female,Healthcare,Other,No,No,0,7.0,60,8
60,Female,Sales,UK,Yes,No,0,9.3,66,10
18,Non-Binary,Other,USA,No,Yes,1,4.6,47,0
21,Non-Binary,Engineering,Other,No,No,0,6.0,53,4
38,Non-Binary,Engineering,India,No,Yes,1,5.8,80,1
44,Male,Other,India,Yes,No,1,5.3,70,9
19,Non-Binary,Engineering,Australia,No,No,1,9.1,53,10
43,Female,Engineering,UK,Yes,Yes,0,8.5,49,10
22,Female,Engineering,Germany,Yes,No,1,9.1,34,3
43,Female,IT,Canada,Yes,No,0,8.8,66,6
44,Female,Healthcare,Germany,No,No,0,9.5,69,9
60,Non-Binary,Finance,Canada,No,No,1,9.8,58,5
45,Female,Healthcare,India,No,No,0,8.6,55,1
26,Female,Education,USA,Yes,Yes,1,9.8,52,7
39,Male,Finance,Australia,Yes,Yes,0,7.8,42,6
49,Female,Other,USA,Yes,No,1,9.8,70,10
25,Female,Healthcare,Australia,No,No,0,4.5,35,3
20,Male,Sales,UK,Yes,Yes,0,7.7,50,10
53,Female,Sales,USA,Yes,No,1,8.6,78,1
38,Non-Binary,Sales,Canada,Yes,Yes,0,6.7,51,4
44,Male,Engineering,Canada,Yes,No,1,4.6,59,5
20,Male,Engineering,Australia,Yes,No,1,9.4,31,8
42,Non-Binary,Other,Australia,No,Yes,0,4.1,53,3
56,Female,IT,Other,Yes,Yes,0,6.3,44,0
29,Female,Other,USA,No,No,1,5.8,59,3
58,Female,Other,India,Yes,Yes,0,7.0,39,0
59,Male,Finance,UK,No,No,1,8.4,66,10
43,Female,IT,UK,Yes,No,0,8.2,75,10
54,Non-Binary,Education,Germany,No,No,0,8.7,74,7
25,Male,IT,Australia,No,Yes,0,5.9,55,2
50,Male,Healthcare,Other,Yes,No,0,6.9,50,5
41,Male,Education,Other,No,No,0,5.9,46,4
37,Non-Binary,Other,Canada,No,Yes,0,9.0,35,4
28,Non-Binary,IT,USA,No,Yes,0,4.7,69,7
21,Non-Binary,Finance,UK,No,No,0,7.1,72,5
51,Non-Binary,Sales,Germany,Yes,No,0,8.5,46,3
49,Female,Engineering,India,Yes,Yes,1,4.5,70,6
37,Female,Sales,Canada,Yes,Yes,0,5.0,37,1
55,Non-Binary,Education,Canada,No,Yes,0,4.1,76,2
62,Female,Healthcare,Germany,No,Yes,0,5.7,31,6
28,Male,Other,Germany,No,No,1,9.8,37,3
22,Male,Other,UK,No,Yes,1,6.2,61,10
50,Female,Healthcare,USA,No,No,0,6.7,48,8
40,Male,Healthcare,Australia,No,Yes,0,7.3,33,5
63,Male,Healthcare,USA,Yes,No,1,7.4,59,10
47,Non-Binary,Healthcare,India,Yes,No,1,5.4,67,7
31,Male,Sales,Germany,No,Yes,0,7.3,36,10
19,Non-Binary,Engineering,UK,No,Yes,0,7.0,41,4
57,Female,Engineering,USA,No,No,0,8.4,30,9
34,Female,Other,Australia,No,No,0,6.3,60,9
52,Female,Healthcare,Germany,No,No,1,6.8,49,2
65,Female,Sales,USA,No,Yes,1,6.7,63,10
30,Male,Sales,Australia,No,No,0,9.7,77,3
63,Male,Finance,Other,No,Yes,1,4.4,48,8
61,Non-Binary,Healthcare,India,Yes,No,0,7.2,77,5
62,Male,Engineering,USA,No,No,1,9.1,60,6
63,Male,IT,USA,Yes,No,0,10.0,73,3
62,Female,Healthcare,Australia,No,Yes,0,8.1,33,9
55,Male,Education,Australia,No,No,1,9.3,61,9
60,Non-Binary,Healthcare,India,Yes,No,0,7.0,41,9
41,Female,Sales,USA,Yes,Yes,1,5.8,48,5
37,Female,Education,UK,Yes,No,0,5.9,80,9
21,Non-Binary,IT,Australia,No,No,1,8.5,40,6
32,Non-Binary,Finance,Canada,Yes,Yes,1,4.7,64,6
58,Male,Education,Germany,No,No,0,4.6,52,4
24,Female,Healthcare,Australia,No,Yes,1,7.6,43,0
22,Non-Binary,IT,Other,No,No,1,4.7,45,7
42,Non-Binary,IT,Other,No,Yes,0,5.1,41,9
53,Male,Sales,UK,No,No,1,8.9,34,1
62,Non-Binary,IT,Germany,No,No,0,4.8,64,6
46,Female,Education,India,No,No,0,5.6,36,6
19,Male,IT,UK,No,Yes,0,6.5,33,10
19,Female,Education,India,No,No,0,7.1,41,7
36,Female,IT,Germany,Yes,Yes,0,6.2,30,4
36,Male,Education,India,No,Yes,0,7.7,53,10
21,Non-Binary,Sales,Canada,Yes,Yes,1,8.2,66,7
27,Non-Binary,IT,India,Yes,Yes,0,7.7,80,9
26,Non-Binary,Education,India,Yes,No,1,8.3,37,5
56,Male,IT,USA,Yes,No,0,5.0,70,5
59,Female,Education,Other,No,No,0,8.1,56,9
36,Female,Engineering,UK,Yes,Yes,1,9.8,33,0
32,Male,Other,Australia,No,Yes,1,6.8,75,4
53,Non-Binary,Education,Other,Yes,No,0,7.4,66,9
38,Non-Binary,Finance,USA,Yes,No,1,6.4,53,1
22,Female,Other,USA,No,Yes,1,6.2,62,4
29,Male,Sales,India,Yes,Yes,0,4.5,45,9
26,Non-Binary,Healthcare,Other,Yes,Yes,0,8.5,66,2
48,Male,Other,UK,Yes,Yes,1,9.9,35,8
24,Male,Healthcare,India,Yes,No,0,8.7,61,6
32,Non-Binary,Finance,Australia,No,Yes,0,5.1,45,7
41,Non-Binary,Education,Canada,Yes,No,0,6.3,52,7
25,Non-Binary,IT,Australia,Yes,No,1,6.9,71,1
28,Female,Other,Germany,Yes,No,0,9.6,71,2
58,Non-Binary,Other,Canada,Yes,Yes,1,6.2,59,2
